2025-07-24 20:19:35 | INFO     | root                 | setup_loggers   | Line:95   | Logging system initialized for TodoApp
2025-07-24 20:19:35 | INFO     | root                 | setup_loggers   | Line:96   | Log files location: D:\Project\Todo_app\todo_app\logs
2025-07-24 20:19:35 | INFO     | root                 | setup_loggers   | Line:97   | Session log: session_20250724_201935.log
2025-07-24 20:19:35 | INFO     | __main__             | __init__        | Line:29   | ================================================================================
2025-07-24 20:19:35 | INFO     | __main__             | __init__        | Line:30   | STARTING TO-DO LIST APPLICATION
2025-07-24 20:19:35 | INFO     | __main__             | __init__        | Line:31   | ================================================================================
2025-07-24 20:19:35 | DEBUG    | database.db_handler  | _ensure_db_directory | Line:40   | Database directory ensured: .
2025-07-24 20:19:35 | INFO     | database.db_handler  | __init__        | Line:34   | Database handler initialized with path: todo_app.db
2025-07-24 20:19:35 | INFO     | __main__             | __init__        | Line:45   | Application properties set
2025-07-24 20:19:35 | INFO     | __main__             | __init__        | Line:46   | PySide6 version: 1.0.0
2025-07-24 20:19:35 | INFO     | __main__             | __init__        | Line:49   | Python version: 3.13.5 (tags/v3.13.5:6cb20a2, Jun 11 2025, 16:15:46) [MSC v.1943 64 bit (AMD64)]
2025-07-24 20:19:35 | INFO     | __main__             | __init__        | Line:50   | Platform: win32
2025-07-24 20:19:35 | INFO     | __main__             | __init__        | Line:51   | Arguments: ['main.py']
2025-07-24 20:19:35 | INFO     | performance          | log_performance | Line:150  | Application initialization took 67.99ms
2025-07-24 20:19:35 | INFO     | __main__             | run             | Line:69   | Starting application run sequence
2025-07-24 20:19:35 | INFO     | __main__             | run             | Line:73   | Initializing database...
2025-07-24 20:19:35 | INFO     | database.db_handler  | initialize_database | Line:45   | Starting database initialization
2025-07-24 20:19:35 | DEBUG    | database.db_handler  | initialize_database | Line:52   | Creating users table
2025-07-24 20:19:35 | DEBUG    | database.db_handler  | initialize_database | Line:66   | Creating tasks table
2025-07-24 20:19:35 | DEBUG    | database.db_handler  | initialize_database | Line:87   | Creating tags table
2025-07-24 20:19:35 | DEBUG    | database.db_handler  | initialize_database | Line:99   | Creating task_tags table
2025-07-24 20:19:35 | DEBUG    | database.db_handler  | initialize_database | Line:111  | Creating routines table
2025-07-24 20:19:35 | INFO     | performance          | log_performance | Line:150  | Database initialization took 2.38ms
2025-07-24 20:19:35 | INFO     | database.db_handler  | initialize_database | Line:136  | Database initialized successfully
2025-07-24 20:19:35 | INFO     | performance          | log_performance | Line:150  | Database initialization took 3.37ms
2025-07-24 20:19:35 | INFO     | __main__             | run             | Line:77   | Database initialized successfully
2025-07-24 20:19:35 | INFO     | __main__             | run             | Line:81   | Creating login window...
2025-07-24 20:19:35 | INFO     | core.user            | __init__        | Line:93   | UserManager initialized
2025-07-24 20:19:35 | INFO     | gui.login            | __init__        | Line:42   | Login window initializing
2025-07-24 20:19:35 | DEBUG    | gui.login            | setup_ui        | Line:61   | Setting up login window UI
2025-07-24 20:19:35 | DEBUG    | gui.login            | create_login_tab | Line:132  | Creating login tab
2025-07-24 20:19:35 | DEBUG    | gui.login            | create_login_tab | Line:169  | Login tab created successfully
2025-07-24 20:19:35 | DEBUG    | gui.login            | on_tab_changed  | Line:360  | User switched to Login tab
2025-07-24 20:19:35 | INFO     | user_actions         | log_user_action | Line:123  | Anonymous | TAB_SWITCH | Switched to Login tab
2025-07-24 20:19:35 | DEBUG    | gui.login            | create_register_tab | Line:179  | Creating registration tab
2025-07-24 20:19:35 | DEBUG    | gui.login            | create_register_tab | Line:229  | Registration tab created successfully
2025-07-24 20:19:35 | DEBUG    | gui.login            | center_on_screen | Line:346  | Centering login window on screen
2025-07-24 20:19:35 | DEBUG    | gui.login            | setup_ui        | Line:123  | Login window UI setup completed
2025-07-24 20:19:35 | DEBUG    | gui.login            | setup_styles    | Line:234  | Setting up login window styles
2025-07-24 20:19:36 | DEBUG    | gui.login            | setup_styles    | Line:324  | Login window styles applied
2025-07-24 20:19:36 | DEBUG    | gui.login            | connect_signals | Line:328  | Connecting login window signals
2025-07-24 20:19:36 | DEBUG    | gui.login            | connect_signals | Line:342  | Login window signals connected
2025-07-24 20:19:36 | INFO     | performance          | log_performance | Line:150  | Login window initialization took 703.93ms
2025-07-24 20:19:36 | INFO     | gui.login            | __init__        | Line:52   | Login window initialized successfully
2025-07-24 20:19:36 | DEBUG    | gui.login            | showEvent       | Line:632  | Login window shown
2025-07-24 20:19:36 | INFO     | user_actions         | log_user_action | Line:123  | Anonymous | LOGIN_WINDOW_SHOWN | Login window displayed to user
2025-07-24 20:19:36 | INFO     | performance          | log_performance | Line:150  | UI initialization took 863.18ms
2025-07-24 20:19:36 | INFO     | __main__             | run             | Line:86   | Login window displayed
2025-07-24 20:19:36 | INFO     | __main__             | run             | Line:88   | Application ready - entering main event loop
2025-07-24 20:19:41 | DEBUG    | gui.login            | on_tab_changed  | Line:360  | User switched to Register tab
2025-07-24 20:19:41 | INFO     | user_actions         | log_user_action | Line:123  | Anonymous | TAB_SWITCH | Switched to Register tab
